title,link,published,source,query,search_start,search_end
What’s behind Apple’s $100 billion market-cap loss? - Fortune,https://news.google.com/rss/articles/CBMilgFBVV95cUxQeFJhbFFObW55TnZuZ3hBM00zU3V3UE4tNTc5S2taLVF6RW9yWEp5aGVCX1RvblRGajN1R3ZfMkl2TmlCcnY5Y19TM3p3T0dCNGRmYnhKRkVTV0dTcWN4UWNBOTlwSGhrOVhOV1ZSMG1NVU1POHhka2ozYjF1M3J5dGFRQm5rYXFIckQ1NUIzcUxHblFGT1E?oc=5,"Tue, 02 Jan 2024 08:00:00 GMT",Fortune,Apple stock,2024-01-01,2024-01-31
Will 2024 Be a Bad Year for Apple's Stock? - The Motley Fool,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNS1BIeW5NVWttVnNHM3pvVzMwNmowODVNb09GUlBXd0NQd050bXMyMVoyREZ1eENsVV9aYkhVeHh1TzhyQjk3SUdTY1JmTzhsVVVqaDhsSGNjMjRieVFMNllROGxqV2Z6ejFoQ3BrSTJNNHV2RC1nNm9CbWlEVUJHaTBBV3FKNUdrR3FR?oc=5,"Wed, 10 Jan 2024 08:00:00 GMT",The Motley Fool,Apple stock,2024-01-01,2024-01-31
"After Over A 40% Rally In 2023, Will Antitrust And iPhone Issues Hurt Apple Stock? - Nasdaq",https://news.google.com/rss/articles/CBMisAFBVV95cUxNYTNwQVVjaWNLb1BNd0tNbG93ekJkUTNIUFJTRWpiMi1fNGRZcEQzODJtbmpUMkxIYmU0bVQwNVBWV2JoQmREdjJyaWg2Ui1XVFZ3bTl1OHh6aFJPRGVuQ2JJeGRhU0tHNHJvOXhhc1VUVHZELThQSXVxZkd0T3g3WTB4dGpZYzhvUlBMQ1d4bEhzUFRxamxzZUxmak1ZZVZYQW1ONC1tRlBtN25GVnpMYw?oc=5,"Thu, 11 Jan 2024 08:00:00 GMT",Nasdaq,Apple stock,2024-01-01,2024-01-31
Apple Stock (NASDAQ:AAPL): Vision Pro Is a Potential Silver Lining - Yahoo Finance,https://news.google.com/rss/articles/CBMiggFBVV95cUxNVTFlZUJZTFc4QWNad0JVNXFWampfUHd1alVLUmYweUJsbGotMVhzRENFUnRrRTlvTTI3UU5XN1RyQTJhTW1adU14ZVBJYWtSN29wcnRTNV9ZcTh4RnozendJZW1uNFF1cU9LNGpWaWJ5TXN3Y1p0SW9MeTk4ZnM4dlRn?oc=5,"Mon, 29 Jan 2024 08:00:00 GMT",Yahoo Finance,Apple stock,2024-01-01,2024-01-31
Apple Shares Climb After Vision Pro Launch Date Is Set for Feb. 2 - Investopedia,https://news.google.com/rss/articles/CBMilwFBVV95cUxNTF9PWkE0VWZnemRJZF95cW9ndHhCWVFzeXdTVXBZUmJmblR4QVQwb2JiUm1BYUpUcDYwYXRlckZuZzZqMnRkNFFCY3pHS1UxZXJMLThmZkxiYUQ0cTlpbEt3WUhFQVRaUDR0UnRMcHh3YWlBQVdleHRtN0RRWHUtMk9CTGlKX1R6bDM0N3RlU3Z3bHhEUmE4?oc=5,"Mon, 08 Jan 2024 08:00:00 GMT",Investopedia,Apple stock,2024-01-01,2024-01-31
Wall Street ends down as Apple weighs - Reuters,https://news.google.com/rss/articles/CBMilgFBVV95cUxQNUxybzVCSGs5LWx1aHZxWTJDak45TWFKRnBaU25XWUJlNEVCbTBXOU1hanllRUQybVplUTNHRGczX3BZTFVGVTdiZ2gyTU9GWlQ3SXgxNkl1SkFYT3ZLN3FwR1dBVXU0ZDVLMTBnOExhMUsxbi13MXF6djZvdHR2cWRKaDFVYkFRek53T0tlVkJaYk9ZZFE?oc=5,"Tue, 16 Jan 2024 08:00:00 GMT",Reuters,Apple stock,2024-01-01,2024-01-31
Better Stock to Buy: Apple vs. Garmin - The Motley Fool,https://news.google.com/rss/articles/CBMihAFBVV95cUxNSDB2U2JJeTVFZDlSbk9pT1ZabTV4ZVlnWmJULUt2cnBnUlZHczFJQ2hoOW45YWVJNEZyOEJPS2xYTkFfWHVtRDl2bmVTaUJlWGhiakRSZXlSaGxicmNURjZfUk1mamRUbW05V0FueF96M0dTYzA3TFUzY1F5ZDcwNTV3TnQ?oc=5,"Wed, 10 Jan 2024 08:00:00 GMT",The Motley Fool,Apple stock,2024-01-01,2024-01-31
Apple (AAPL) Stock: Should Investors Be Worried? - Nasdaq,https://news.google.com/rss/articles/CBMiggFBVV95cUxOMDhlZGZjejFzUEhRb0wzYTBiSVl6dm5WWUtveksyMTJSOHlBVWFLb2labU9nVFkxbmVEVXNlTkpBWmhNTzlXSUY3TDQ2ZmVHbHVnQlVjTER6WHpPU1Ixb09Ock5BSVRfOEpGZ2RtLTI5MTZUYkxNeElWM0FlbkJNaTBn?oc=5,"Thu, 04 Jan 2024 08:00:00 GMT",Nasdaq,Apple stock,2024-01-01,2024-01-31
Where Will Apple Stock Be in 5 Years? - Yahoo Finance,https://news.google.com/rss/articles/CBMie0FVX3lxTE55a2lnUDVUSG9xYWtuSk1iWmtVS1Vka2o3d2t4eHozUDE3UExraklsMnVWSFRiSVROeW1ES1d1dXpLQVRaYVQtSi1nVEFzNzVDU2xXaDQ1eTNjMjU0TEVkNjQ4NW51LTZPNHZRMUZkVGREMEZ3alBGZjhyMA?oc=5,"Sat, 27 Jan 2024 08:00:00 GMT",Yahoo Finance,Apple stock,2024-01-01,2024-01-31
4 Things You Need to Know Before You Rush to Buy Apple Stock in 2024 - Nasdaq,https://news.google.com/rss/articles/CBMiogFBVV95cUxPWEUwcWN6WVRMR00wUEJYUWdWWjQ4dlFfNENmYlRiZU9WNXZDc3dGUDZFcDlrSk9GN29yUDhMcEZleXc4Y1pieElHcWxZWDd3akhXb1A5dGw0VzRqU1NUWm9ieW9iSkpVYkJwNklQYkhnZzRWZ1FHQ2hIU2tRakNSd3ZyUW83MzRvRC1GQmRIOHNkMVc4VHE3U1laZEVWLUN2SHc?oc=5,"Sun, 21 Jan 2024 08:00:00 GMT",Nasdaq,Apple stock,2024-01-01,2024-01-31
Better Stock to Buy in 2024: Apple vs. Costco - The Motley Fool,https://news.google.com/rss/articles/CBMijwFBVV95cUxPbjRsc2FTV19VMXJVdkVpTE5QZ2ZRT3NFNlE2eGFZTC00MVpNLWlJdUg5YXBXQkIxalNUaG9ETEN5Zm5WUXVpczE4MmxtdzdtQ21jUFYyeTN4UHVlSWl5Qm5rZ2dGYUMtVnk3ZUlJZzgzZ1NIWC1aRDl3cUlRN2lmdjRpUjhkUGE4eHo4X1NBYw?oc=5,"Sun, 21 Jan 2024 08:00:00 GMT",The Motley Fool,Apple stock,2024-01-01,2024-01-31
Apple Stock (NASDAQ:AAPL): Reality is Starting to Set In - Nasdaq,https://news.google.com/rss/articles/CBMijwFBVV95cUxPVzFxSWhpYzljV0VJakQtUUpIOWxhb3hxWXUtMXo0RFdwd2lmLWRtNW9TYnk4azh5cTNRTUY4TEpuVFJGY0ZydWNBc3hWZEpxSzFJaGp2YW9tMmJjVlJNV2JyR2Rmc0lSckdNbUNRLVk5azcxaUxUcnRuZmFvVUNINFYweUdsNEMxbjVBOVpoUQ?oc=5,"Tue, 02 Jan 2024 08:00:00 GMT",Nasdaq,Apple stock,2024-01-01,2024-01-31
Apple Is Losing Market Share in Smartphones. The Stock Hit a Two-Month Low. - Barron's,https://news.google.com/rss/articles/CBMimgNBVV95cUxQOGUtOWRmT3lDazBBcXY0am4wek5rVWZ3b1pGSUNnSUo0YU9ZWGU2N0hUWHFFMFhoUW5WRXlvSHJ6M25lNjU4NU1PSkFKdUdRUVRaQlhHalBBd3RjZVA0bnVqVjJzMkt1SnA0TnJ4dXZtQjhMYjB4MHNLUWVNS3dqVURzRDlRQ0R4ZGNPT1d6Uk5WMFpBdlZFVEJzWDR1RlNab0hIbmZ1bnRfTDNBSEVzVzFXOGNrcy1IZnY5eTBYdzh0TWd3bjU4OS1BMTlBM2s0NEQwdTlDQThCTmdDOFBzbDFaTmxUQnFjVTctNzdUUTFWUTFxajdWSVlyNEVjUk5xNU5XaGxVSkhCWmVZNnRIYTd0VElzSUtaMmFDLWNKSzJNUmlwU094MnR6UHV1aWdXTEdvdHZlTHF5Q0ZFY3lQOURGYjU5NFlWZWFCcVgxaENPUWE5TEswRTFjOGxQR0dfOGdNM2UtLUpuUXdxZjE3NUw4VTRtR0hkYjZ5dmh3S3Y0eDhLM29YZTVBZGl2TS1KTWpORHFfdmFhUQ?oc=5,"Tue, 02 Jan 2024 08:00:00 GMT",Barron's,Apple stock,2024-01-01,2024-01-31
Apple Stock Is Still A Buy. Here’s Why. - Nasdaq,https://news.google.com/rss/articles/CBMiekFVX3lxTE1tY0NjTkI0VWVKc1A2R3h1ZTZ4TnRJdWtHZ2gyLXA5WWRDNmNvbFlFNnFVZ1NmRmxkMW8tdXdZWWxERHYtbmpyRnh2Q1lYelVSenV4ZTJFeEhPNFNhdGFHeURTR2xTS3NOSGVXNHlOby1PZnhfWVQxMWtR?oc=5,"Mon, 08 Jan 2024 08:00:00 GMT",Nasdaq,Apple stock,2024-01-01,2024-01-31
Is Apple Stock a Buy? - Nasdaq,https://news.google.com/rss/articles/CBMiZEFVX3lxTE9BM1FQX25mWjZXX04zOHBUel93emF0TndUQzhLZ1Y1MzgxT3ROazBRYzNwWllVZE1idVVqUTVnYmpfQmxaMGpkN0RmTE1wWXBrUmxkck5NOTc5UFlBelUtcWZuSGM?oc=5,"Wed, 03 Jan 2024 08:00:00 GMT",Nasdaq,Apple stock,2024-01-01,2024-01-31
Microsoft edges out Apple as world's most valuable company - Reuters,https://news.google.com/rss/articles/CBMiowFBVV95cUxONFZnRjZQUlo1b2szMFBsVmhZSUkwajk1SzU0d01Mak5yeW9Oa013ckFySGNoY2sySmkwbTdXTmJsbUQ0TWhaNHdmNlYyaVo0S1FBRUd0T0syWWN2bEhoMTBGRGlYS0NVOGZSSW8xZkJFVkpXajFpUHJnZFAwRHdTaXhRcnNFSlNMV2NXMG1qYkhhOTdDSldMX0ozUXFFY2d2ZTBr?oc=5,"Fri, 12 Jan 2024 08:00:00 GMT",Reuters,Apple stock,2024-01-01,2024-01-31
"If You Invested $1000 In Apple When The iPad Was Launched 14 Years Ago, Here's How Much You'd Have Today - Yahoo Finance",https://news.google.com/rss/articles/CBMihgFBVV95cUxNWWlzX0lkM0dfYnpDNy1LNmJOZHl2VzhxMjN3ZjZBNkcycjFjYWlObWN3ZG5jQml2cGtOVHhzcjdsd19BNEJFaW13Z3ZaRWE5bjhkWG9hSmdweVgzeENQaGtwTmVSdlpjV1h6VzZSNzZIWUxQU082YWI2UDBqTG9QaGxHTEpvZw?oc=5,"Sat, 27 Jan 2024 08:00:00 GMT",Yahoo Finance,Apple stock,2024-01-01,2024-01-31
Microsoft challenges Apple as world's most valuable company - Reuters,https://news.google.com/rss/articles/CBMipAFBVV95cUxQQWZzRFdrYzNBYlk5c3JOWldvWTNuT1NxRHdCLUwzQWNlQUo2QWRnYklNbl9QRHVZcHV6ZGpUNWt4QjNHeTU3R3NBRHJkWFh6Wi0xZ0Y2V2s4M2lzajJxZlBCTWVmaWhiVjJSc0h4MGw2MWNjc1FvZTZnTjVtVDRoSWlkLWVvcFN3LUx1THNBRkNBQ2Zydmo0aVBjVXVuaG03bmczTg?oc=5,"Wed, 10 Jan 2024 08:00:00 GMT",Reuters,Apple stock,2024-01-01,2024-01-31
"Markets News, Jan. 2, 2024: Nasdaq Sinks as Apple Loses $100B in Market Cap; Bitcoin Jumps Above $45K - Investopedia",https://news.google.com/rss/articles/CBMibkFVX3lxTE5jYUtVQWZERDRIOTZLWTAwNzhzMk1XWFJHNDRfb3Qyay04enphUHRrckdDMXR5QnlZOVpDbVltRFJOM3gzX0JNMTNkSlBueEVnY3RoM3ltMEZYdzZKMlFnSGlpYUtZY2JKam1mcGxB?oc=5,"Tue, 02 Jan 2024 08:00:00 GMT",Investopedia,Apple stock,2024-01-01,2024-01-31
World's Most Valuable Company: Apple and Microsoft Battle for Top Spot - Kiplinger,https://news.google.com/rss/articles/CBMipwFBVV95cUxPRE02ZG1UZDNsajlfUF9nY1Z0b1VaOEhkOE1hV0VlY0trUzR4a1NmODk4YjhFelNTbnZJODBVeVV1Q3dxR1ExYTg3cTdzN3htb0Y4ZU5lbkVFdU5XZE5TU1dsZGt5SDZNd09ubUdMX0pKY2RLTy1DbEZTVFQ4MVRoVkhMQUlWWkttSldaeUc3eFIyQlpVWU9aTG56dHplTVZhTzEzUWZhUQ?oc=5,"Thu, 18 Jan 2024 08:00:00 GMT",Kiplinger,Apple stock,2024-01-01,2024-01-31
Wall Street Analysts See Upside Potential for 10 Stocks with Rising Price Targets - Yahoo Finance,https://news.google.com/rss/articles/CBMigwFBVV95cUxOWXJMZUVtVjc4ZkhrVjl6Y2RQZDZWTWZDQUJ4U0E2ZU0zQ3YtbTZzMUJHaGNmSGVQV3ROQTY5bnBjWVhCazl0TDBROUNqSlpOLThTVzJOV2xZSVAxV2R1Sy1EMlh5dl9fWXNjSnZHb1h2U1llN0J5akZRRHVnZUxrZHNyaw?oc=5,"Tue, 30 Jan 2024 08:00:00 GMT",Yahoo Finance,Apple stock,2024-01-01,2024-01-31
Microsoft beats Apple as most valuable company for first time in two years - The Guardian,https://news.google.com/rss/articles/CBMipAFBVV95cUxPSF9LME9TTjhlU1NrX2taR3Z1YmFVb1FYWEFhS3RudF85TzFmTnBfaFhBTHNpUnE2elpoSTFyNllhakVfeDJXOHZkSTZSQnRkMnNQaWw3c1VmZlVvMkhkcGVERHVTNnluWmxnX2RHc3NUUEhmNmN2azE1aTZta0hKaEYyTEVGQUtLd0g2SGNpa3RJVmdJWGxKazU5cDBtdHNyYzhmMw?oc=5,"Fri, 12 Jan 2024 08:00:00 GMT",The Guardian,Apple stock,2024-01-01,2024-01-31
3 Stocks That Could Be Worth More Than Apple by 2030 - The Motley Fool,https://news.google.com/rss/articles/CBMimAFBVV95cUxNMWFBbGs2eHFjbk5tZkZWaEZLdGZpQ2luVVc2UHc4dUxTNmk0TTJ0LUtCaXZLX0l4NmRtcUpWNWQ0V0NXb3FtX2pHbllvNFFVc181SzdjTHNDWmMwTW9VZ29mQ2xCZ09vVk93VHRBNkttdHhNeVV4cUlFR1N1MU9tbExNcGJpb2NEWmowc09na05xckliOUJLMw?oc=5,"Thu, 04 Jan 2024 08:00:00 GMT",The Motley Fool,Apple stock,2024-01-01,2024-01-31
Where Is Apple Stock Headed in 5 Years? - TheStreet,https://news.google.com/rss/articles/CBMiggFBVV95cUxPM0wyTGVlYUpSaVFnNXkyVmx3QW0tejFMZkdJY2F2WXh4REE5Tmh3QmRqY1AyVUVlalJwektMYzB6LWlBaFA0RGxiNE5xNk9KdExaMkhGT3NFTHJDdWFVbm9BN1dtVG1qclIzMmJ3NHNCTmFydWR6WnltMEJkbGJEbTJR?oc=5,"Tue, 02 Jan 2024 08:00:00 GMT",TheStreet,Apple stock,2024-01-01,2024-01-31
Here's Why Apple Stock Climbed Nearly 50% Last Year - The Motley Fool,https://news.google.com/rss/articles/CBMilwFBVV95cUxNUktNTUYxNWdkZEtic3MwR0lNbDJZdnJWZFBuUHdWY19RWG1JMzZjbnFTYVpuRWFHU3dOYUljSGtSQ0h3S2E3MjU2SC1uaGtPVjA3bFF3bEZMWm5pa2NNalozclhfWmpHSUY2bjVLaHdzRUhNblpvaHhueXF5aUdGN3JBZlZNSEFReUkxVzZpeVFPVDRmYTgw?oc=5,"Mon, 15 Jan 2024 08:00:00 GMT",The Motley Fool,Apple stock,2024-01-01,2024-01-31
"Apple stock will fall 17% over the next year as iPhone demand cools, Barclays says in downgrade note - markets.businessinsider.com",https://news.google.com/rss/articles/CBMixAFBVV95cUxNTFZTbk9HVWhKRi0tV0xOTE5GS09LQ2Z4bG8wNy1YQzBVZXZBOGFpd2NDR2hpVkcxTmJRN1VqcndWUjhwVUx2eW83ZHpqTmJzZUVHZXQ4VWtSSGRaZG5ueVA3QVVfRUliMUZDZjMzaHNoY0poR3RSVzExajNmdlRBMWtsOFF5b1R0SG9SbUV4eUh4ejdzYUhBMkpPUGg1NGxCLXl6ZXpDenVobDl3OUpIdlhSLW9lVklNVmM2UE5lc3V4Mzdk?oc=5,"Tue, 02 Jan 2024 08:00:00 GMT",markets.businessinsider.com,Apple stock,2024-01-01,2024-01-31
"S&P, Nasdaq begin 2024 with lower close as Apple, big tech weighs - Reuters",https://news.google.com/rss/articles/CBMimgFBVV95cUxONDkxMFV5Yk0tbW9UUnlMMmdoWHJoc3FvaEdXQ2ZKWElIYjNSZDBvWXdIV2drMlRGOXVRV2ZwNHFhNFZ6TVZtbE11ZWUweUFoZmMyb3g3SEVnQVc2RmIxeTZZMUc3UXdxUE1STEhpR0RRdVlHODZPTVBfcmJxN0MxRVlYdHFfdDd4NV9LN3cxS2lYblFxd05OVlNR?oc=5,"Tue, 02 Jan 2024 08:00:00 GMT",Reuters,Apple stock,2024-01-01,2024-01-31
"Supreme Court rebuffs Apple’s court appeal on app payments, threatening billions in revenue - PBS",https://news.google.com/rss/articles/CBMixAFBVV95cUxPN25Pc1pZbnBsQXBkYVlDVkJ0aTN3SHdmMkVJXzZHNDdndVdTY2VESFl5ZlNTdjVySVBfUWhNbVJISVhNU21SSjV5OERkLWJOUVZ1LTZaZUJzYi1ieWRLbDU4MUFBVE1YbWlUTnJWeTFQSm9VMnl6Q0F0NlFoQ2o3bHJNV1g0VTBEdHJQSnNCb3h3RnJkMjR0SkgwN1pmUnpNZ20yaFpOVUFpblFXTzdDN3pDaDI3Y1Z0UEJFMlVvMGRwcE9w0gHKAUFVX3lxTFBPRnFDVVZBN2JfT2ZCTDhfTEVucS14RXhEeXFqUzZhNFZuN2Q0d01HTmJia1BmUWswOXM3Z1NYT1ZFYTZvVUZBNXM4MlRHSEFzbmJjUUJJVEZMei1saWJ2WERteFpuM0ZpVTlEb3N3UHphZUJFTTFzUWpUVTdaLTY2amlsVXJ0aGhYTkpVeGtuNFZhZm8wdXlVSWVCRnFsUjQtMVBYeVlTa0NwTUI4YUZ0bDlZZHBvZUJkWU9jbEdWX0Y5RlhNRXdZOHc?oc=5,"Tue, 16 Jan 2024 08:00:00 GMT",PBS,Apple stock,2024-01-01,2024-01-31
Apple Stock vs. Microsoft Stock: Which Is Better? - TheStreet,https://news.google.com/rss/articles/CBMijAFBVV95cUxNY19uaTdqelQweXFTanN1dm5kTlNyWk9qWFZBQ3AtZmI2bl84MnNpUWp3bm5SbW00Vm8zYlJuVXpUX0ZqMWVSMGFJellJS3hGNGlqWlRxZE0wdm1GZG9TVUR1eXpOWEgyVl9CejVVNDQ1MU0yTFdTNng2ODRHZ0FDZVlSM0MydmFLQlNiVQ?oc=5,"Wed, 17 Jan 2024 08:00:00 GMT",TheStreet,Apple stock,2024-01-01,2024-01-31
"Apple Stock Now Faces Lower Bar, Says Analyst. What It Needs to Deliver. - Barron's",https://news.google.com/rss/articles/CBMigANBVV95cUxNX2pIT180Qkd3S00tVDBFYUpGSUs4LUxURDJsQnltczRZS3ZjTDNrbUZsYUR0engxMFdpNmJvNE9QbGxLUllFNDV3M2F2NFJzai1NMzBTb0p6NW9TWEFUTzZTd1FhR2V3TjFETzVmaVlNVm1Ta1BpTjJLYk9zMkZIbUVSdHV2RDA5Mk14Z0doXzhNVUVzMDBXQzNoUXFGRi1nb0VDYUF1ZHNrSXFKYVJhTURpRGk5azFFMDVma21NT2ZsRi13cC1OV0Q5aGNwT3VDQkQ2aS1KZHRQV0ZIMnFDZjhUdDR6dGZZenBsOVVmQk5tdGFhZGJWeFJ3em9fNXdmbkVQdXFUUzZJRDdWdExGTXZwME9BLXNaVUIzZlJWYms0NjdfazVYUGVKN1VZY0dxVHVmNk9RQklTX1VWSGFKYkZBb3B4SXN5N3RfQzhlaGZfRE1telluNklPQk16YUJqNUJNSnVZQnRQamxybHk0dVdhZ2w1ODhSUmROR1BjcFc?oc=5,"Fri, 19 Jan 2024 08:00:00 GMT",Barron's,Apple stock,2024-01-01,2024-01-31
